State,Population_2019,Population_2011
Uttar Pradesh,237882725,199812341
Bihar,124799926,104099452
Maharashtra,123144223,112374333
West Bengal,99609303,91276115
Madhya Pradesh,85358965,72626809
Rajasthan,81032689,68548437
Tamil Nadu,77841267,72147030
Karnataka,67562686,61095297
Gujarat,63872399,60439692
Andhra Pradesh,53903393,49576777
Odisha,46356334,41974218
Telangana,39362732,35004000
Jharkhand,38593948,32988134
Kerala,35699443,33406061
Assam,35607039,31205576
Punjab,30141373,27743338
Chhattisgarh,29436231,25545198
Haryana,28204692,25351462
Delhi,18710922,16787941
Jammu & Kashmir,13606320,12258433
Uttarakhand,11250858,10086292
Himachal Pradesh,7451955,6864602
Tripura,4169794,3673917
Meghalaya,3366710,2966889
Manipur,3091545,2855794
Nagaland,2249695,1978502
Goa,1586250,1458545
Arunachal Pradesh,1570458,1383727
Puducherry,1413542,1247953
Mizoram,1239244,1097206
Chandigarh,1158473,1055450
Sikkim,690251,610577
Dadra & Nagar Haveli and Daman & Diu,615724,586956
A.& N.Islands,417036,380581
Ladakh,289023,290492
Lakshadweep,73183,64473
